Product Name,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin	Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added",Category
"Health-Ade Pomegranate Kombucha, 16 oz",851861006119,237.0,ml,16 fl oz/1 PT/473 mL,3.28,0.0,0.0,2.96,15.0,15.0,,,,,,,4.0,,,,,,,,,,,,0.85,,,,,,Kombucha
"Nestle Nesquik No Sugar Added Chocolate Powder, 16 oz, Can",28000813208,11.0,g,,5.68,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Powder
"Liquid I.V. Hydration Multiplier + Energy Electrolyte Powder Packet Drink Mix, Mango Tamarind, 6 Ct",850039286544,,,8.46 oz/240 g,9.98,0.0,0.0,68.8,281.0,281.0,0.0,0.0,0.0,,,2380.0,3190.0,,,,0.0,,475.0,,142.0,,,,68.8,0.0,0.0,14.2,,68.8,Hydration Drink Mix
"Nestle Nesquik Chocolate Caramel Swirl Flavor Powdered Drink Mix, 18.5 oz, Can",28000254629,,,,5.58,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Drink Mix
"(10 Packets) True Lemon Strawberry Lemonade Stevia Sweetened, On-The-Go, Caffeine Free Powdered Drink Mix",810979007371,3.0,g,0.54 oz/15.6 g,2.48,0.0,0.0,76.9,192.0,192.0,,,,,,,2500.0,,,,,,,,,,,,0.0,,,,,,Powdered Drink Mix
"Crystal Light Fruit Punch Sugar Free Drink Mix Singles Caffeine Free, 10 ct On-the-Go-Packets",43000011171,,,0.9 oz/25.5 g,2.48,0.0,0.0,76.9,192.0,192.0,,1150.0,,,,,769.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Jet-Puffed Mini Marshmallows, 1 lb Bag",600699660761,,,,2.12,3.03,0.0,81.8,333.0,333.0,,,,,,,106.0,,,,,,,,,,,,60.6,,,,,,Marshmallows
"Crystal Light Raspberry Lemonade Sugar Free Drink Mix Singles Caffeine Free, 10 ct On-the-Go-Packets",43000011201,,,3.2 oz/90 g,2.48,0.0,0.0,66.7,167.0,167.0,,,,,,,1500.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Nestle Hot Cocoa Rich Milk Chocolate Flavored Mix Powder, 6.829 oz, 8 Count Box",50000495900,,,,1.72,3.0,15.0,75.0,,,4.0,100.0,1.8,,,0.0,850.0,,11.0,,,,0.0,,,,,,60.0,0.25,10.0,,,,Hot Cocoa Mix
"Crystal Light Fruit Punch Sugar Free Drink Mix Caffeine Free, 6 ct Pitcher Packets",43000011348,,,0.9 oz/25.5 g,2.58,0.0,0.0,76.9,192.0,192.0,,1150.0,,,,,769.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Great Value Milk Chocolate Hot Cocoa Mix, 0.52 Oz, 12 Count, Single Serve Cups",78742354774,15.0,g,6.35 OZ/180 g,4.47,6.67,20.0,60.0,467.0,467.0,6.7,87.0,6.67,,,967.0,1130.0,,,,0.0,,,,,,,,26.7,0.0,16.7,,,26.7,Hot Cocoa Mix
"Crystal Light Wild Strawberry Sugar Free Drink Mix Singles with Caffeine, 10 ct On-the-Go-Packets",43000017296,,,1.1 oz/32 g,2.48,0.0,0.0,93.8,312.0,312.0,,,,,,,0.0,,,,,,,,125.0,,,,0.0,,,13.4,37.5,,Drink Mix
"Gevalia French Roast Ground Coffee, 12 oz. Bag",43000043004,,,,6.98,2.5,19.2,74.6,481.0,481.0,1.4,12.0,0.33,,203.0,546.0,399.0,,0.0,,,,0.0,,,,,,54.3,,4.6,,,,Ground Coffee
"Crystal Light Lemonade Sugar Free Drink Mix Singles Caffeine Free, 10 ct On-the-Go-Packets",43000945025,,,3.2 oz/90 g,2.48,0.0,0.0,66.7,167.0,167.0,,,,,,,1500.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Great Value Mini Marshmallows Value Size, 16 oz",78742242019,,,,1.64,0.0,0.0,56.0,240.0,240.0,0.0,0.0,0.0,,,96.0,0.0,,0.0,,,,18.0,,,,,,56.0,0.0,0.0,,,,Marshmallows
"Gevalia Medium Roast Columbia Arabica Ground Coffee, 12 oz. Bag",43000043011,,,30 OZ/850 g,6.98,0.0,0.0,0.0,0.0,0.0,,,,,,647.0,0.0,,,,,,,,,,,,,,,,,,Ground Coffee
"Skittles Zero Sugar Variety Pack Singles-to-Go Powdered Drink Mix, Tropical, 30 Count Packets",72392329304,,,0.6 oz/16.2 g,4.78,0.0,0.0,74.1,370.0,370.0,,,,,,,370.0,74.1,,,,,3330.0,,,,,,0.0,,,,,,Drink Mix
"Great Value Milk Chocolate Hot Cocoa Drink Mix with Marshmallows, 27 oz Canister",78742359250,36.0,g,,4.24,2.8,15.0,75.0,400.0,400.0,3.7,80.0,1.8,,,,800.0,,10.0,,,,0.0,,,,,,65.0,0.23,15.0,,,,Hot Cocoa Drink Mix
"Gevalia Signature Blend Coffee K-Cup Coffee Pods, 24 ct Box",43000080344,,,,13.88,0.0,0.0,0.0,0.0,0.0,,,,,,1950.0,0.0,,,,,,,,,,,,,,,,,,Coffee Pods
True Lemon Original Lemonade Powdered Drink Mix - 10 Sticks,810979001188,3.0,g,2.45 oz/70 g,2.48,0.0,0.0,100.0,300.0,300.0,,,,,,,0.0,,,,,,240.0,,,,,,80.0,,,,,,Lemonade Drink Mix
"Caf Bustelo, Espresso Style Dark Roast Ground Coffee, 10 oz. Can",74471000500,,,8.75 oz,5.37,0.0,0.4,0.4,4.0,4.0,0.0,2.0,0.0,,,3.0,1.0,,,,,,,,,,,,0.4,0.0,0.0,,,0.0,Ground Coffee
"Gevalia House Blend Ground Coffee, 12 oz. Bag",43000042991,,,24 oz/1.5 lbs/680 g,6.98,0.0,0.0,0.0,0.0,0.0,,,,,,647.0,0.0,,,,,,,,,,,,,,,,,,Ground Coffee
"Nesltle Nesquik Chocolate Flavor Powder Drink Mix, 10 oz, Can",28000537838,15.0,g,,3.74,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Drink Mix
"Caf Bustelo, Espresso Style Dark Roast Ground Coffee, Vacuum-Packed 10 oz. Brick",74471017201,,,8.75 oz,4.0,0.0,0.4,0.4,4.0,4.0,0.0,2.0,0.0,,,3.0,1.0,,,,,,,,,,,,0.4,0.0,0.0,,,0.0,Ground Coffee
"Liquid I.V. Hydration Multiplier Electrolyte Powder Packet Drink Mix, Lemon Lime, 6 Ct",863737000169,16.0,g,160 g/5.65 oz,8.98,0.0,0.0,75.0,312.0,312.0,0.0,0.0,0.0,,250.0,2310.0,3120.0,,0.0,,,,412.0,,138.0,,,,68.8,0.0,0.0,13.8,41.2,,Electrolyte Powder
Nesquik Chocolate Powder Drink Mix 20.1 oz,28000428433,15.0,g,,5.68,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Drink Mix
"Caf Bustelo Sweet & Creamy Caf con Leche Coffee Drink, Keurig K-Cup Pods, 24 Count Box",74471018949,,,0.44 oz,14.42,7.69,23.1,53.8,462.0,462.0,7.7,54.0,0.0,,,708.0,962.0,,,,0.0,,,,,,,,15.4,0.0,23.1,,,15.4,Coffee Drink
"Great Value Strawberry Watermelon Drink Mix, 0.11 oz, 10 count",78742025384,1.5,g,,2.24,0.0,0.0,88.9,333.0,333.0,0.0,0.0,0.0,,,333.0,889.0,,0.0,,,,0.0,,,,,,66.7,0.0,0.0,,,,Drink Mix
"Gevalia Dark Royal Roast Coffee K-Cup Coffee Pods, 24 ct Box",43000080320,,,,13.88,0.0,0.0,0.0,0.0,0.0,,,,,,1950.0,0.0,,,,,,,,,,,,,,,,,,Coffee Pods
"Nestle Nesquik Chocolate Flavor Powder Drink Mix Canister, 38 oz, Can",28000514037,15.0,g,,8.98,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Drink Mix
"Caf Bustelo Espresso Style, Dark Roast Coffee, Keurig K-Cup Pods, 48 Count Box",74471018956,,,4.44 oz/126 g,25.46,7.69,23.1,53.8,462.0,462.0,7.7,54.0,0.0,,,708.0,962.0,,,,,,,,,,,,15.4,0.0,23.1,,,15.4,Coffee Pods
"Crystal Light Grape Sugar Free Drink Mix Singles with Caffeine, 10 ct On-the-Go-Packets",43000041918,,,0.37 oz/10.4 g,2.48,0.0,0.0,95.2,238.0,238.0,,1950.0,,,,,1190.0,,,,,,,,,,,,0.0,,,,,0.0,Drink Mix
"Nestle Nesquik Strawberry Flavor Powder Drink Mix, 9.38 oz",28000453879,14.0,g,,3.74,0.1,0.2,99.1,389.0,389.0,0.0,4.0,0.44,1.0,5.0,6.0,38.0,0.0,0.0,0.0,0.0,,0.3,,0.073,0.0,0.0,0.1,95.4,,0.0,0.002,0.0,,Drink Mix
"Caf Bustelo Espresso Style, Dark Roast Coffee, Keurig K-Cup Pods, 24 Count Box",74471289967,,,4.44 oz/126 g,13.26,7.69,23.1,53.8,462.0,462.0,7.7,54.0,0.0,,,708.0,962.0,,,,,,,,,,,,15.4,0.0,23.1,,,15.4,Coffee Pods
"Gevalia Colombian Coffee K-Cup Pods, 24 ct Box",43000080337,,,,13.88,0.0,0.0,0.0,0.0,0.0,,,,,,1950.0,0.0,,,,,,,,,,,,,,,,,,Coffee Pods
"Land O Lakes Chocolate Supreme Hot Cocoa Mix, 1.25 oz. Packet",878326000017,35.0,g,,0.72,8.57,8.57,74.3,400.0,400.0,2.9,286.0,2.06,,,,743.0,,,,,,,,,,,,68.6,,7.14,,,,Hot Cocoa Mix
"Caf Bustelo Espresso Ground Coffee, Dark Roast, 22oz",74471100521,,,8.75 oz,9.94,0.0,0.4,0.4,4.0,4.0,0.0,2.0,0.0,,,3.0,1.0,,,,,,,,,,,,0.4,0.0,0.0,,,0.0,Ground Coffee
"Crystal Light Lemonade Sugar Free Drink Mix Caffeine Free, 6 ct Pitcher Packets",43000950654,,,3.2 oz/90 g,2.58,0.0,0.0,66.7,167.0,167.0,,,,,,,1500.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Swiss Miss Hot Cocoa Mix with Lucky Charms Marshmallows, 6 Dual Packets",70920050126,43.0,g,6 ONZ,2.68,5.71,8.57,82.9,429.0,429.0,5.7,57.0,3.09,,,1030.0,400.0,,0.0,,0.0,,0.0,,,,,,60.0,0.0,7.14,,,,Hot Cocoa Mix
"Great Value Sugar-Free Lemonade Drink Mix, 0.14 Oz., 10 Count",78742114743,2.0,g,,2.24,0.0,0.0,56.0,240.0,240.0,0.0,0.0,0.0,,,96.0,0.0,,0.0,,,,18.0,,,,,,56.0,0.0,0.0,,,,Drink Mix
Land O Lakes Cocoa Classics French Vanilla & Chocolate Hot Cocoa Mix 1.25 oz. Packet,878326000055,35.0,g,,0.72,8.57,8.57,74.3,400.0,400.0,2.9,286.0,2.06,,,,743.0,,,,,,,,,,,,68.6,,7.14,,,,Hot Cocoa Mix
"Land O Lakes Cocoa Classics Mint & Chocolate Hot Cocoa Mix, 1.25 oz. Packet",878326000024,35.0,g,6.25 oz/177 g,0.72,8.57,8.57,74.3,400.0,400.0,2.9,286.0,2.06,,,,771.0,,0.0,,,,0.0,,,,,,68.6,0.0,5.71,,,,Hot Cocoa Mix
"Land O Lakes Cocoa Classics Raspberry and Chocolate Hot Cocoa Mix, 1.25 oz Packet",878326000048,35.0,g,,0.72,8.57,8.57,74.3,400.0,400.0,2.9,286.0,2.06,,,,743.0,,,,,,,,,,,,68.6,,7.14,,,,Hot Cocoa Mix
"Hershey's Natural Unsweetened Cocoa Powder, Can 8 oz",34000052004,,,,4.44,20.0,10.0,60.0,410.0,410.0,20.0,0.0,36.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,Cocoa Powder
"Crystal Light Sweet Tea Sugar Free Drink Mix, 6 ct Pitcher Packets",43000059531,,,,2.58,0.0,0.0,62.5,312.0,312.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Liquid I.V. Hydration Multiplier Electrolyte Powder Packet Drink Mix, Tropical Punch, 6 Ct",850021474478,,,0.56 oz/16 g,8.98,0.0,0.0,75.0,281.0,281.0,0.0,0.0,0.0,,,2310.0,3120.0,,,,0.0,,456.0,,142.0,,,,68.8,0.0,0.0,14.2,42.6,68.8,Electrolyte Powder
"Super Coffee Vanilla Latte Iced Coffee Bottle, 12 fl oz",865891000146,360.0,ml,,2.98,1.75,1.01,2.81,27.0,27.0,0.0,66.0,0.02,20.0,54.0,102.0,23.0,0.23,,0.02,,,0.1,,0.964,0.1,0.0,9.8,2.51,,0.587,0.032,0.28,,Iced Coffee
"Starbucks Classic Hot Cocoa, 6-count Carton",54467600167,,,,5.92,3.0,15.0,75.0,,,4.0,100.0,1.8,,,0.0,850.0,,11.0,,,,0.0,,,,,,60.0,0.25,10.0,,,,Hot Cocoa
"Land of Lakes Cocoa Classics Caramel & Chocolate Hot Cocoa Mix, 1.25 oz. Packet",878326000031,35.0,g,,0.72,8.57,8.57,74.3,400.0,400.0,2.9,286.0,2.06,,,,743.0,,,,,,,,,,,,68.6,,7.14,,,,Hot Cocoa Mix
"Soylent Protein Nutrition Shake, Creamy Chocolate, 11 fl oz, 4 Count",858369006504,330.0,ml,1.6 Quart,9.98,6.19,0.95,2.62,36.0,36.0,0.2,167.0,0.13,,,71.0,69.0,,0.0,,,,0.0,,,,,,0.24,0.0,0.12,,,,Protein Shake
"Nestle Milo Active Go Chocolate Malt Powder Drink Mix, 14.1 oz",28000369712,23.0,g,,4.98,5.1,4.76,86.9,,,4.8,60.0,2.28,70.0,175.0,618.0,190.0,0.8,117.0,0.17,0.0,,1.5,,2.0,2.5,18.0,27.2,66.7,,2.38,0.156,0.42,,Chocolate Malt Powder
"Super Coffee Mocha Latte Iced Coffee Bottle, 12 fl oz",865891000153,360.0,ml,,2.98,1.75,1.01,2.81,27.0,27.0,0.0,66.0,0.02,20.0,54.0,102.0,23.0,0.23,,0.02,,,0.1,,0.964,0.1,0.0,9.8,2.51,,0.587,0.032,0.28,,Iced Coffee
"Crystal Light Peach Mango Green Tea Sugar Free Drink Mix Singles, 10 ct On-the-Go-Packets",43000022221,,,0.8 oz/24 g,2.48,0.0,0.0,83.3,417.0,417.0,,,,,,,208.0,,733000.0,,,167.0,875.0,,,,,,0.0,,,,,,Drink Mix
"Nestle Abuelita Mexican Hot Chocolate Tablets, 19 oz, Box",28000157852,23.0,g,,3.97,0.0,0.0,67.2,269.0,269.0,0.0,0.0,0.0,40.0,58.0,122.0,150.0,0.55,0.0,0.01,0.0,,0.0,,0.173,0.2,0.0,0.9,60.0,,0.0,0.009,0.0,,Hot Chocolate Tablets
"Premier Protein Shake, Chocolate, 30g Protein, 11 fl oz, 4 Ct",643843714484,330.0,ml,11.16 FL OZ/330 mL,8.97,9.09,0.3,3.33,55.0,55.0,0.6,197.0,0.12,,,179.0,91.0,,3270.0,,73.0,1.0,4.2,,,,,,2.73,,,,,2.7,Protein Shake
"Great Value Sugar-Free Cherry Drink Mix, 0.78 oz, 10 Count",78742077543,1.1,g,,2.24,0.25,0.08,0.7,4.0,4.0,0.0,13.0,0.02,3.0,0.0,3.0,68.0,0.0,,0.0,,,0.0,,8.42,0.0,0.0,0.0,0.0,,0.0,1.41,2.24,,Drink Mix
"Equate Meal Replacement Shake, Creamy Milk Chocolate, 11 fl oz, 12 Ct",78742456140,325.0,ml,11 fl oz/325 mL,13.98,6.15,2.77,1.23,55.0,55.0,0.6,123.0,0.83,43.0,123.0,185.0,80.0,0.69,538.0,,43.0,,18.5,,2.15,6.2,,,0.62,0.0,0.46,0.185,0.55,,Meal Replacement Shake
"Equate High Performance Protein Shake, Chocolate, 11 fl oz, 12 Ct",681131015806,325.0,ml,44 FL OZ/1.3 L,20.98,9.23,0.92,1.54,49.0,49.0,0.9,200.0,1.38,32.0,194.0,138.0,86.0,0.86,2830.0,,62.0,1.0,7.1,,1.23,9.2,18.0,,0.31,0.0,0.31,0.132,0.18,,Protein Shake
"Land O Lakes Cocoa Classics Arctic White Hot Cocoa Mix, 1.25 oz. Packet",878326000079,35.0,g,6.25 oz/177 g,0.72,5.71,17.1,74.3,457.0,457.0,0.0,114.0,1.03,,,,514.0,,0.0,,,,0.0,,,,,,54.3,0.0,14.3,,,,Hot Cocoa Mix
"BODYARMOR Sports Drink, Blue Raspberry, 12 Fl. Oz., 8 count",850009942036,,,12 fl oz,6.98,0.0,0.0,12.8,47.0,47.0,,,,,,,17.0,,,,,,,,,,,,12.8,,,,,12.8,Sports Drink
"Crystal Light Lemon Iced Tea Sugar Free Drink Mix Singles, 10 ct On-the-Go-Packets",43000945117,,,0.70 oz/19.8 g,2.48,0.0,0.0,101.0,253.0,253.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
Ovaltine Chocolate Malt Powdered Drink Mix for Hot and Cold Milk Canister 12 oz,751746033615,11.0,g,,4.33,0.0,0.0,93.0,372.0,372.0,0.0,909.0,16.4,218.0,0.0,0.0,530.0,13.6,4550.0,12.3,364.0,,54.5,,18.2,0.0,0.0,0.0,72.7,0.0,0.0,1.82,0.0,,Chocolate Drink Mix
"Great Value Fruit Punch Drink Mix, 0.07 Oz, 10 Ct",78742274874,1.1,g,29 oz/822 g,2.24,0.0,0.0,100.0,412.0,412.0,,118.0,,,,,0.0,,,,,,35.3,,,,,,94.1,,,,,,Drink Mix
"BODYARMOR Sports Drink Mamba Forever, 12 fl oz, 8 Pack",850009942630,,,16 fl oz,6.98,0.0,0.0,8.46,34.0,34.0,,,,,,,63.0,,,,,,,,3.38,,,,8.46,,,0.359,0.51,8.5,Sports Drink
"Nestle Carnation Chocolate Malted Milk Powder Mix, 13 oz, Can",50000634125,21.0,g,,4.33,19.9,1.4,66.2,353.0,353.0,0.4,285.0,12.8,228.0,427.0,947.0,385.0,8.55,,9.37,,,76.9,,14.2,90.0,285.0,148.0,65.8,,0.56,1.14,1.71,,Malted Milk Powder
"Kool-Aid Unsweetened Blue Raspberry Lemonade Artificially Flavored Powdered Drink Mix, 0.22 oz. Packet",43000955475,,,,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,1670.0,,,,,,1000.0,,,,,,,,,,,,Drink Mix
"Hershey's Special Dark Dutched Cocoa Powder, Can 8 oz",34000053001,,,8 oz/226 g,4.44,20.0,10.0,60.0,200.0,200.0,20.0,0.0,36.0,,,,1100.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,,,,Cocoa Powder
Ensure Original Vanilla Nutrition Shake | 16 Pack,70074534329,240.0,ml,,27.37,3.8,2.53,16.9,105.0,105.0,0.0,127.0,1.9,42.0,105.0,156.0,84.0,1.58,,1.42,,,12.7,,2.11,8.4,42.0,32.4,9.7,,0.422,0.211,0.63,,Nutrition Shake
"Starbucks Marshmallow Hot Cocoa, 6-count Carton",54467600211,,,,5.92,2.8,15.0,75.0,400.0,400.0,3.7,80.0,1.8,,,,800.0,,10.0,,,,0.0,,,,,,65.0,0.23,15.0,,,,Hot Cocoa
"Nido Fortificada Powdered Drink Mix Dry Whole Milk Powder with Vitamins and Minerals, 12.6 oz",28000033170,30.0,g,28.1 oz/1.76 lbs/800 g,6.58,23.3,30.0,36.7,533.0,533.0,0.0,1000.0,18.0,,,,350.0,10.0,3330.0,,333.0,,40.0,,,,,,36.7,0.0,16.7,,,,Powdered Milk
Ensure Original Strawberry Nutrition Shake | 16 Pack,70074633893,240.0,ml,,27.37,3.8,2.53,16.9,105.0,105.0,0.0,127.0,1.9,42.0,105.0,156.0,84.0,1.58,,1.42,,,12.7,,2.11,8.4,42.0,32.4,9.7,,0.422,0.211,0.63,,Nutrition Shake
"Starbucks Arabica Beans Sumatra, Dark Roast, Ground Coffee, 18 oz",762111287854,,,12 oz/355 mL,12.48,0.0,0.42,1.11,8.0,8.0,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,Ground Coffee
"Nesquik Strawberry Flavored Syrup for Milk or Ice Cream, 22 oz",28000244606,20.0,g,,2.54,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Strawberry Syrup
"Starbucks Pike Place Roast, Medium Roast Keurig K-Cup Coffee Pods, 22 Count",762111301826,,,0.34 oz,16.98,0.0,,0.0,0.0,0.0,,,,,,1850.0,0.0,,,,,,,,,,,,,0.0,,,,,Coffee Pods
"BODYARMOR Sports Drink, Strawberry Banana, 12 Fl. Oz., 8 count",858176002829,355.0,ml,12 fl oz,6.98,0.0,0.0,12.8,47.0,47.0,,,,,,,17.0,,,,,,,,,,,,12.8,,,,,12.8,Sports Drink
"The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 48 Count",99555151541,,,0.34 oz,27.97,0.0,,0.0,0.0,0.0,,,,,,1850.0,0.0,,,,,,,,,,,,,0.0,,,,,Coffee Pods
"Nestle Nesquik Strawberry Flavor Powder Drink Mix, 35.5 oz",28000106102,14.0,g,,8.98,0.1,0.2,99.1,389.0,389.0,0.0,4.0,0.44,1.0,5.0,6.0,38.0,0.0,0.0,0.0,0.0,,0.3,,0.073,0.0,0.0,0.1,95.4,,0.0,0.002,0.0,,Drink Mix
"Skittles Zero Sugar Variety Pack Singles-to-Go Powdered Drink Mix, Original, 30 Count Packets",72392328307,,,0.54 oz/15.4 g,4.78,0.0,0.0,80.0,200.0,200.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,Drink Mix
"Muscle Milk Pro Advanced Nutrition Protein Shake, Knockout Chocolate, 11.16 fl oz Bottle",876063003155,330.0,ml,11.16 FL OZ/330 mL,9.48,9.7,0.61,2.73,52.0,52.0,1.5,158.0,1.09,,,194.0,58.0,0.67,2180.0,,85.0,1.0,,,0.97,,11.0,,0.3,0.0,0.15,0.079,0.15,,Protein Shake
"Starbucks Premium Instant Coffee, Medium Roast, 100% Arabica Beans, 3.17 Oz",50000427024,,,11 fl oz/325 mL,8.98,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,17.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,,,,Instant Coffee
"Ovaltine Rich Chocolate Drink Mix Powdered Drink Mix for Hot and Cold Milk, 18 oz",751746032182,11.0,g,400 g,5.77,8.57,11.4,74.3,429.0,429.0,0.0,286.0,0.0,,,,400.0,,1140.0,,,,0.0,,,,,,48.6,0.0,7.14,,,,Drink Mix
"Starbucks, Cinnamon Dolce Medium Roast K-Cup Coffee Pods, 22 Count",762111301987,,,0.34 oz,15.98,0.0,,0.0,0.0,0.0,,,,,,1850.0,0.0,,,,,,,,,,,,,0.0,,,,,Coffee Pods
"Gatorade G Zero Sugar Glacier Freeze, Powdered Thirst Quencher Drink Mix, 0.10 oz, 1 Box of 10, Flavor: Glacier Freeze",52000044577,3.0,g,1.72 oz/49 g,3.48,0.0,0.0,55.6,0.0,0.0,,,,,,2220.0,7780.0,,,,,,,,,,,,0.0,,,,,,Gatorade Drink Mix
"Muscle Milk Genuine Protein Shake, Chocolate, 11 fl oz Carton, 4 Pk",180530000814,330.0,ml,,7.98,5.87,2.17,2.28,52.0,52.0,0.2,69.0,1.3,20.0,101.0,198.0,95.0,1.05,,0.83,,,27.6,,1.42,0.0,33.0,0.0,0.78,,0.362,0.224,0.69,,Protein Shake
"Starbucks Frappuccino Caramel Iced Coffee, 9.5 oz, 4 Pack Bottles",12000103681,285.0,ml,,7.48,2.11,1.05,11.6,63.0,63.0,0.0,70.0,0.0,,,,33.0,,0.0,,,,0.0,,,,,,10.9,0.0,0.7,,,,Iced Coffee
"Green Mountain Coffee Breakfast Blend K-Cup Pods, Light Roast, 24 Count for Keurig Brewers",99555065206,,,,14.92,0.0,0.0,0.0,0.0,0.0,,,,,,1950.0,0.0,,,,,,,,,,,,,,,,,,Coffee Pods
"Nesquik Chocolate Flavored Syrup for Milk or Ice Cream, 22 oz",28000245009,20.0,g,,2.54,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Syrup
"BODYARMOR Sports Drink, Fruit Punch, 12 Fl. Oz., 8 count",858176002805,,,12 fl oz,6.98,0.0,0.0,12.8,47.0,47.0,,,,,,,17.0,,,,,,,,,,,,12.8,,,,,12.8,Sports Drink
"Kool-Aid Unsweetened Lemonade Naturally Flavored Powdered Soft Drink Mix, 0.23 oz Packet",43000955697,,,,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,1670.0,,,,,,1000.0,,,,,,,,,,,,Lemonade Drink Mix
"Starbucks Frappuccino Vanilla Chilled Coffee Drink, 9.5 fl oz, 4 count",12000101144,285.0,ml,,7.48,2.19,1.09,12.9,71.0,71.0,0.0,85.0,0.09,,,,39.0,,0.0,,,,0.0,,,,,,11.2,0.0,0.73,,,,Chilled Coffee Drink
"Great Value Caramel Pecan Medium Roast Coffee Pods, 12 Count",78742373584,,,7.62 oz/216 g,4.63,8.33,4.17,0.0,42.0,42.0,,,,,,1550.0,375.0,,,,,,,,,,,,,,4.17,41.7,2000.0,,Coffee Pods
"Muscle Milk Genuine Protein Shake, Vanilla Creme, 11 fl oz Carton, 4 Pk",180530000821,330.0,ml,1.94 oz/55 g,7.98,45.4,16.4,27.3,436.0,436.0,5.5,909.0,8.18,182.0,636.0,600.0,227.0,6.82,2270.0,,182.0,,27.3,,9.09,,,,5.45,0.0,5.45,0.909,2.73,,Protein Shake
"Nestle Carnation Original Malted Milk Powder Mix, 13 oz",50000600120,21.0,g,,4.33,19.9,1.4,66.2,353.0,353.0,0.4,285.0,12.8,228.0,427.0,947.0,385.0,8.55,,9.37,,,76.9,,14.2,90.0,285.0,148.0,65.8,,0.56,1.14,1.71,,Malted Milk Powder
"Starbucks Frappuccino Mocha Iced Coffee, 9.5 oz, 4 Pack Bottles",12000100925,285.0,ml,,7.48,2.11,1.05,11.6,63.0,63.0,0.0,70.0,0.0,,,,33.0,,0.0,,,,0.0,,,,,,10.9,0.0,0.7,,,,Iced Coffee
"Green Mountain Coffee Roasters Dark Magic Coffee, Keurig Single-Serve K-Cup pods, Dark Roast, 24 Count",99555040616,,,0.34 oz,11.99,0.0,0.0,0.0,0.0,0.0,,,,,,1850.0,0.0,,,,,,,,,,,,,,,,,,Coffee Pods
"Great Value Wild Strawberry Drink Mix, 10 Ct",78742077413,1.6,g,,2.42,0.0,0.0,88.9,333.0,333.0,0.0,0.0,0.0,,,333.0,889.0,,0.0,,,,0.0,,,,,,66.7,0.0,0.0,,,,Drink Mix
