Product Name,Walmart Item ID,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid","Thiamin	Riboflavin",Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added"
"Great Value Energy Berry Blast Drink Enhancer, 1.62 Fl Oz",22027294,78742024974,2,ml,1.62 fl oz/48 mL,2.34,0,0,0,0,0,,,,,,,500,,,,,,,,100,,,,0,,,10,30,
"Armour LunchMakers Turkey & Cheese, Crackers & Butterfinger, 2.4 oz Meal Kit",10291661,46600034281,69,g,,1.26,3.5,5,27.5,165,165,1,50,0.9,,,,225,,50,,,,30,,,,,,17,0,2.5,,,
"Pure Life Purified Water, 16.9 Fl Oz / 500 mL, Plastic Bottled Water (35 Pack)",17248230,68274669316,,,,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Value Cheese Dip & Breadsticks Snacks, 1 oz, 5 Count",13281897,605388187635,28,g,125 g,1.77,8,14,48,360,360,0,80,2.88,,,,1200,,400,,,,0,,,,,,12,0.8,6,,,
"MiO Lemonade Sugar Free Water Enhancer with 2X More, 3.24 fl oz Big Bottle",746012044,43000008928,,,,5.94,0,0,0,0,0,,,,,,,400,,,,,,,,80,,,,0,,,8,24,
"OZARKA Brand 100% Natural Spring Water, 101.4-ounce plastic jug",24389350,22592334158,,,,1.74,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"MiO Vitamins Orange Vanilla Sugar Free Water Enhancer, 1.62 fl oz Bottle",43184719,43000006566,nan,nan,,2.98,0,0,0,0,0,,,,,,1400,3000,,,,,,,,80,,,,0,,,8,24,
"Hillshire Snacking Genoa Salami, White Cheddar Cheese, Toasted Rounds Meat Snack Kit, 2.76 oz",47446798,44500201819,78,g,2.76 OZ/78 g,3,20.5,28.2,15.4,397,397,1.3,321,0.92,,,,1190,,513,,,,0,,,,,,0,0,11.5,,,
"Splash Blast, Acai Grape Flavor Water Beverage, 16.9 FL OZ Plastic Bottles (6 Count)",24389690,68274342257,237,ml,,2.98,0,0,0,0,0,,,,,,,32,,,,,,4.7,,1.97,,,,0,,,0.197,,
"Oscar Mayer Natural Meat & Cheese Snack Plate with Slow Roasted Turkey, White Cheddar Cheese & Whole Wheat Crackers, 3.3 oz. Tray",121195074,44700094457,,,,2.98,13.5,28.2,1.7,315,315,0,67,1.24,21,248,152,1040,2.04,0,,,,0,,,,,,0.3,,11.2,,,
"MiO Sweet Tea Sugar Free Water Enhancer, 1.62 fl oz Bottle",15939961,43000000854,,,,2.98,0,0,0,0,0,,,,,,,400,,,,,,,,80,,,,0,,,8,24,
Prime Hydration Drink Mix - Lemon Lime (6 On The Go Sticks),146646881,850003560922,,,0.8 OZ/22 G,8.98,0,0,95.4,364,364,0,182,0,182,,0,1730,,,,0,,,,,,,,86.4,0,0,,,86.4
"bubly Summer Coconut Pineapple Sparkling Water, 12 Fl Oz, 8 Pack Cans",807698057,12000206863,360,MLT,,3.98,0.43,0.09,8.3,,,0.8,15,0.4,18,4,127,1,0.12,38,0.01,0,,7.7,,0.298,0.3,0,3.8,7.5,0,0.006,0.074,0,
"Great Value Blue Raspberry Drink Enhancer, 3.1 fl oz",775614262,78742295794,2,ml,1.62 fl oz/48 mL,3.96,0,0,50,0,0,,,,,,,500,,,,,,,,,,,,50,,,,,
"Armour LunchMakers Ham and Cheese Portable Meal Kit with Crunch Bar, 2.4 oz",10291660,46600034274,,,,1.26,3.5,5,27.5,165,165,1,50,0.9,,,,225,,50,,,,30,,,,,,17,0,2.5,,,
Prime Hydration Drink Mix - Ice Pop (6 On The Go Sticks),1681350906,850040427035,9.510000229,g,9.7 g/0.34 oz,8.98,0,0,61.9,258,258,10.3,72,0,1280,,7220,412,,,,,155,928,,,,,,20.6,0,0,35.1,49.5,0
"LaCroix Sparkling Water, LimonCello 8pk/ 12 fl oz",217072817,12993221119,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Value Strawberry Orange Banana Drink Mix, 0.4 oz, 6 count",11303904,78742077345,1.5,g,,2.28,0,0,88.9,333,333,0,0,0,,,333,889,,0,,,,0,,,,,,66.7,0,0,,,
"Great Value Sodium Free Seltzer Water, 33.8 fl oz",10448349,78742102092,360,ml,33.8 fl oz,0.97,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
"Gatorade Thirst Quencher Variety Pack Sports Drink, 12 oz, 18 Pack Bottles",16224471,52000123258,,,12 fl oz,10.98,0,0,6.11,22,22,,,,,,14,44,,,,,,,,,,,,5.83,,,,,5.8
"Lunchables Nachos Cheese Dip & Salsa Kids Lunch Snack, 4.4 oz Tray",10452294,44700360354,nan,nan,,1.82,4.84,15.3,33.1,290,290,3.2,161,0.87,,,,685,,605,,,,7.3,,,,,,3.23,0,2.82,,,
"Great Value Energy Black Cherry Drink Enhancer, 3.11 fl oz",214963187,78742334202,2,ml,3.11 fl oz/92 mL,3.96,0,0,50,0,0,,,,,,,500,,,,,,,,100,,,,0,,,10,30,
"Oscar Mayer Natural Uncured Ham & Montery Jack Cheese Snack Plate, 3.3 Oz Tray",231013978,44700094433,,,,2.98,16.3,11.2,3.65,,,0,9,1.3,23,219,260,1250,2.25,0,,,,0,,,,0,,2.2,,4.06,,,
"Gatorade Thirst Quencher Variety Pack Sports Drink, 12 fl oz, 18 Pack Bottles",16224470,52000123241,355,ml,12 fl oz,10.98,0,0,6.11,22,22,,,,,,14,44,,,,,,,,,,,,5.83,,,,,5.8
"FIJI Natural Artesian Water, 50.7 fl oz, Bottle",12131023,632565000036,,,50.7 fl oz,2.88,0,93.3,0,800,800,,,,,,,0,,,,,,,,,,,,,0,13.3,,,
"Kool-Aid Liquid Tropical Punch Naturally Flavored Soft Drink Mix, 1.62 fl oz Bottle",23598042,43000005729,,,,2.78,0,0,10.8,42,42,,,,,,,8,,,,,,16.7,,,,,,10.6,,,,,
"Great Value Raspberry Black Tea Drink Enhancer, 1.62 Fl Oz",35105401,78742047089,2,ml,1.62 fl oz/48 mL,2.34,0,0,50,0,0,,,,,,,500,,,,,,,,,,,,50,,,,,
"FIJI Natural Artesian Water, 16.9 Fl. Oz., 6 Count",11985593,632565000098,,,16.9 fl oz,7.68,0,0,12.4,46,46,,,,,,,23,,,,,,,,,,,,12.2,,,,,12.2
"Sargento® Balanced Breaks® Cheese & Crackers, Gouda & Sharp Cheddar Natural Cheeses and TRISCUIT® Mini Original Crackers Snack Kit, 3-Pack",588836926,46100353394,43,g,1.5 OZ/42 g,3.34,18.6,23.3,25.6,395,395,4.7,349,1.67,,,0,674,,,,0,,,,,,,,0,0,11.6,,,
"MiO Vitamins Orange Tangerine Sugar Free Water Enhancer, 1.62 fl oz Bottle",20531330,43000000472,,,,2.98,0,0,0,0,0,,,,,,,1500,,,,,,,,100,,,,0,,,10,30,
"GOYA Coconut Water, With Pulp, 17.6 Fl Oz, 1 Count",36346894,41331027878,240,ml,,1.58,0,0.2,8,36,36,0,24,0.29,,,,36,,0,,,,0,,,,,,6,0,0,,,
"Hillshire Snacking Italian Dry Salami and Gouda Cheese Snack Kit, 2.8 oz",47446799,44500201826,78,g,16 LBR,3,21,36,0,408,408,0,40,1,,,,2210,,,,,,4,,,,,,1,0,13,,,
"Great Value Liquid Drink Enhancer Lemonade, 3.11 Fl Oz",140753441,78742232409,,,,3.96,0,0,56,240,240,0,0,0,,,96,0,,0,,,,18,,,,,,56,0,0,,,
"Vita Coco Coconut Water, Pure, 16.9 fl oz Tetra",17800758,898999010007,240,ml,16.9 fl oz/1.06 PT/500 mL,1.98,0,0,7.5,31,31,,8,,7,8,121,21,,,,,,,,,,,,7.5,,0,,,
"Great Value Diet Tonic Water, 33.8 Fl Oz Bottle",10448546,78742091532,240,ml,33.8 fl oz,0.97,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
1.62z Crystal Light Liq Bluebry Raspbry,35221609,43000006375,,,,2.98,0,0,0,250,250,,,,,,,1750,,,,,,,,,,,,0,,,,,
"Oscar Mayer Natural Turkey & Asiago Cheese Snack Plate, 3.3 Oz Tray",490896413,44700094440,,,,2.98,13.5,28.2,1.7,315,315,0,67,1.24,21,248,152,1040,2.04,0,,,,0,,,,,,0.3,,11.2,,,
"Great Value Drink Enhancer, Fruit Punch, 3.11 fl oz",753766858,78742334172,2,ml,1.62 fl oz/48 mL,3.96,0,0,0,0,0,,,,,,,0,,,,,,,,100,,,,0,,,10,30,
"LaCroix Sparkling Water, Lime 8Pk/12Oz",36333049,12993221256,355,ml,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coca-Cola Soda Pop, 12 fl oz, 12 Pack Cans",12166733,49000028904,,,,6.72,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,,,
"Nutella & GO! Hazelnut and Cocoa Spread with Bread Sticks, Snack Pack, 1.8 oz",33302398,9800800056,52,g,1.8 oz,2.12,7.69,25,65.4,500,500,3.8,96,1.92,,,365,250,,,,,,,,,,,,44.2,0,8.65,,,38.5
"Great Value Energy Liquid Drink Enhancer, Strawberry Kiwi, 1.62 Fl Oz",21081292,78742019161,2,ml,1.62 FL OZ/48 mL,2.34,0,0,33.3,0,0,,,,,,,0,,,,,,,,100,,,,,,,10,30,
"bubly Lime Flavored Sparkling Water, 12 oz, 8 Pack Cans",220279687,12000171444,360,ml,355 MLT,3.98,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,,,0
"Great Value Sugar-Free Drink Mix, Strawberry Watermelon, 0.42oOz, 6 Ct",23554745,78742025438,1.5,g,,2.28,0,0,88.9,333,333,0,0,0,,,333,889,,0,,,,0,,,,,,66.7,0,0,,,
"C2O Pure Coconut Water, 33.8 fl oz",36361705,853883003114,240,ml,17.5 fl oz/520 mL,3.74,0,0,5.42,21,21,0,8,0.15,7,8,125,31,0.12,0,,,,0,,0.167,,,,5,0,0,,,
"Great Value Sugar-Free Cherry Drink Mix, 1.9 Oz., 6 Count",10415760,78742211275,1.1,g,,2.28,0.25,0.08,0.7,4,4,0,13,0.02,3,0,3,68,0,,0,,,0,,8.42,0,0,0,0,,0,1.41,2.24,
"Propel, Kiwi Strawberry Enhanced Water with Electrolytes, 16.9 fl oz, 12 Pack Bottles",13448771,52000512007,500,ml,16.9 OZA,8.48,0,0,0,0,0,0,0,0,,,0,45,,,,,,3,,2.37,,,,0,0,0,0.237,,0
"P3 Turkey, Almonds, Jack Cheese & Yogurt Covered Blueberries Protein Snack Pack, 3.2 Oz Tray",197350325,44700094310,,,3.2 oz,3.48,18.9,23.3,16.7,356,356,2.2,333,0.8,,,,678,,,,,,1.3,,,,,,11.1,0,11.1,,,
"Great Value Sugar-Free Drink Mix, Grape, 0.32 oz, 6 Count",10415090,78742225432,1.1,g,,2.28,0.25,0.08,0.7,4,4,0,13,0.02,3,0,3,68,0,,0,,,0,,8.42,0,0,0,0,,0,1.41,2.24,
"Sargento Balanced Breaks Natural Sharp White Cheddar Cheese, Sea-Salted Cashews and Golden Raisin Medley, 3-Pack",46161574,46100009420,43,g,1.5 oz/42 g,3.34,16.3,25.6,27.9,419,419,4.7,349,1.67,,,,442,,,,,,0,,,,,,18.6,0,11.6,,,
"Great Value Sugar-Free Lemonade Drink Mix, 0.53 Oz., 6 Count",10416088,78742087665,1.9,g,,2.28,0,0,56,240,240,0,0,0,,,96,0,,0,,,,18,,,,,,56,0,0,,,
"P3 Chocolate Nut Clusters, Turkey & Cheddar Cheese Protein Snack Pack, 2 Oz Tray",46842775,44700075296,56,g,,1.98,19.6,21.4,19.6,357,357,1.8,179,1.29,,,,750,,357,,,,0,,,,,,8.93,0,8.93,,,
"Sparkling Ice® Naturally Flavored Sparkling Water, Classic Lemonade 17 Fl Oz",20469607,16571940355,240,ml,204 fl oz/6.03 L,0.97,0,0,0,0,0,,,,,,,0,,208,,17,,,,0.833,,,,0,,,0.083,0.25,
"Sparkling Ice® Naturally Flavored Sparkling Water, Black Raspberry 17 Fl Oz",21268881,16571910303,240,ml,237 mL/8 fl oz,0.97,0,0,0,0,0,,,,,,,0,,,,17,,,,0.844,,,,0,,,0.084,0.25,
"MiO Energy Tropical Fusion Sugar Free Water Enhancer, 1.62 fl oz Bottle",34523778,43000005859,nan,nan,1.62 fl oz/48 mL,2.98,0,0,50,0,0,,,,,,,0,,,,,262,,,100,,,,,,,10,30,
"Taylor Farms Almonds & Cheese Snack Pack, 6.5 oz",44391212,824862008147,185,g,8 oz/227 g,2.97,8.37,11.4,11.9,185,185,0.4,264,0.16,,,,242,,551,,,,2.1,,,,,,9.69,0,6.61,,,
"Lunchables Light Bologna & American Cheese Cracker Stackers Kids Lunch Snack, 3.1 oz Tray",10452293,44700360026,,,,1.82,11.5,16.7,38.5,354,354,1,156,1.88,,,,646,,208,,,,9.4,,,,,,17.7,0.52,6.25,,,
"Crystal Light Liquid Strawberry Lemonade Naturally Flavored Drink Mix, 1.62 fl oz Bottle",35221608,43000006351,,,,2.98,0,0,66.7,333,333,,,,,,,222,,,,,,,,,,,,66.7,,,,,
"OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 12)",24389351,22592777719,,,,3.38,0,0,0,0,0,0,0,0,,,,0,,0,,,,0,,,,,,0,0,0,,,
"Great Value Drink Enhancer, Fruit Punch, 1.62 fl oz",19802860,78742010717,2,ml,1.62 fl oz/48 mL,2.34,0,0,0,0,0,,,,,,,0,,,,,,,,100,,,,0,,,10,30,
"5-hour ENERGY Shot, Regular Strength, Berry, 15 Count",821275377,719410500153,,,2.5 fl oz/75 mL,27.98,0,0,0,0,0,0,0,0,,,63,627,2.67,,,0,1,9.3,,,,,,0,0,0,,,
"Sam's Choice Purified Drinking Water, 10 fl oz, 15 Count Bottles",10324684,681131781138,,,23.9 fl oz,2.58,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
"Great Value Drink Enhancer, Mixed Berry, 3.1 fl oz",654884345,78742002224,9,ml,1.62 fl oz/48 mL,3.96,0,0,50,0,0,,,,,,,500,,,,,,,,,,,,50,,,,,
"Java Monster, Loca Moca, Coffee + Energy Drink, 11 fl oz, 6pk",957052004,70847029045,,,15 fl oz/443 mL,10.48,2.08,0.83,7.92,50,50,,83,,,62,100,100,,,,,,12.5,,8.33,,,,7.92,0,0.62,0.833,,
"MiO Energy Acai Berry Storm Sugar Free Water Enhancer, 1.62 fl oz Bottle",34523777,43000005804,,,,2.98,0,0,0,0,0,,,,,,,400,,,,,,,,80,,,,0,,,8,24,
"Java Monster, Mean Bean, Coffee + Energy Drink, 11 fl oz, 6 Pack",342290125,70847029120,,,11 fl oz,10.48,1.85,1.08,8,49,49,,77,,,46,105,102,,,,,,12.9,,8.62,,,,8,0,0.62,0.862,2.58,
"OZARKA Brand 100% Natural Spring Water, 8-ounce mini plastic bottles (Pack of 12)",15716483,22592008110,,,,2.68,0,0,11.2,41,41,0,0,0,,,,9,,0,,,,0,,,,,,11.2,0,0,,,
"Great Value Energy Peach Mango Drink Mix, 0.09 Oz, 10 Ct",16940544,78742073828,1.25,g,16 FL.OZ./1 pt/473 mL,2.42,0,0,1.06,1,1,0,,,16,,175,,,,,,,,,0.634,,,,0,,,0.068,0.1,
"Clear American Sparkling Water, Strawberry, 33.8 fl oz",10452357,78742372433,240,ml,33.8 fl oz,0.76,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
"Rockstar Punched Fruit Punch Energy Drink, 16 oz Can",935589628,818094005746,,,,1.58,0.42,0,12.9,54,54,,,,,,,21,,,,,,,,8.33,,,,12.5,,,0.833,2.5,
"Great Value Orange Blast Drink Enhancer, 3.11 fl oz Bottle",625564768,78742334196,2,ml,3.11 fl oz/92 mL,3.96,0,0,0,0,0,,,,,,,1250,,,,,,,,100,,,,0,,,10,24,
Alani Nu Energy Drink - Cherry Slush - 12oz Cans (Single Cans),925507823,810030512257,,,,2.48,0.71,0.14,18.8,74,74,1.4,10,0.34,8,14,121,1,0.07,,0.21,,,2,,0.377,1.3,0,3.8,17.4,,0.026,0.028,0,
"Clear American Fuji Apple Sparkling Water, 33.8 fl oz",35592632,78742051727,240,ml,33.8 fl oz,0.76,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
"(12 Cans) Monster Zero Ultra, Sugar Free Energy Drink, 16 fl oz",394935847,70847037965,,,,19.98,0,0,1.38,5,5,0,0,0,0,0,0,75,0,,0,,,0,,8.33,0,0,0,1.38,,0,0.833,2.5,
"Great Value Southern Sweet Tea Drink Enhancer, 3.11 fl oz",245296828,78742232416,3,ml,1.62 fl oz/48 mL,3.96,0,0,0,0,0,,,,,,,0,,,,,,,,100,,,,0,,,10,30,
"Clear American Sparkling Water, Wild Cherry, 33.8 fl oz",10453153,681131780964,240,ml,20 fl oz/1.25 PT/591 mL,0.76,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
Alani Nu Energy Drink - Juicy Peach - 12oz Cans (Single Cans),302496406,810030513827,,,,2.48,0.4,0.08,13.6,54,54,1.2,2,0.3,5,9,91,3,0.08,,0.45,,,2.7,,0.479,1.6,0,3.8,12.4,,0.006,0.017,0,
"Clear American Sparkling Water, Key Lime 33.8 fl oz",41862625,78742429632,240,ml,144 fl oz/4.26 L,0.76,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"Great Value Sugar-Free Dragon Fruit Energy Drink Mix, 0.08 oz, 10 Ct",16940543,78742073811,1.25,g,16 fl oz,2.42,0,0,0,4,4,,,,,,,44,,,,,,,,3.38,,,,0,,,0.359,0.51,0
"Alani Nu Energy Drink, Cosmic Stardust, 12 fl oz Can",288817357,810030510024,,,12 FL OZ,2.48,0,0,1.11,3,3,,0,,,,9,47,,,,,,,,4.67,,,,0,,,0.5,0.69,
"Great Value Electrolyte Vitamin Enhanced Strawberry Kiwi Drink Mix, 0.08 oz, 10 Count",10533994,78742077123,3,g,2 oz/58 g,2.42,0,0,100,333,333,0,0,0,,,1330,1000,,0,,,,200,,167,,,,66.7,0,0,16.7,8,
"Clear American Sparkling Water, Mandarin Orange, 33.8 fl oz",10453152,681131780957,240,ml,20 fl oz/1.25 PT/591 mL,0.76,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"Red Bull Energy Drink, 8.4 fl oz, Pack of 4 Cans",10316265,611269108026,250,ml,8.4 fl oz,7.68,0,0,0.8,4,4,,12,,,,,42,,,,,,,,8,,,,0,,,2,1.92,
"Pure Life Purified Water, 8 Fl Oz, Plastic Bottled Water (12 Pack)",21651862,68274195143,,,8 fl oz,2.62,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"Great Value Antioxidant Sugar-Free Blackberry Lemonade Drink Mix, 1.41 oz, 10 Count",972781313,78742232478,2,g,1.41 oz/40 g,2.24,0,0,50,250,250,0,0,0,,,0,1120,,680000,,0,85,600,,,,,,0,0,0,,,
"Great Value Simply Clear Liquid Drink Enhancer, Strawberry Watermelon, 1.62 fl oz",24848454,78742034188,2,ml,1.62 fl oz/48 mL,2.34,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"Swiss Miss Chocolate Hot Cocoa Mix With Marshmallows, 8 Count",591479114,70920476346,39,g,,2.48,2.8,15,75,400,400,3.7,80,1.8,,,,800,,10,,,,0,,,,,,65,0.23,15,,,
"Clear American Peach Sparkling Water, 33.8 fl oz",10452470,78742206226,360,ml,33.8 fl oz,0.76,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
"Red Bull Energy Drink, 8.4 fl oz, Pack of 12 Cans",10316267,611269426724,250,ml,8.4 fl oz,21.98,0,0,0.8,4,4,,12,,,,,42,,,,,,,,8,,,,0,,,2,1.92,
"Great Value Peach Mango Green Tea Drink Mix, 0.08 oz, 10 Count",17352631,78742026404,1.3,g,1.85 oz/52.5 g,2.42,0,0,95.2,238,238,,,,,,,238,,1160000,,,167,952,,,,,,0,,,,,
"Ito En Oi Ocha Unsweetened Green Tea, 16.9 Fl. Oz.",34275011,835143001047,240,ml,16.9 fl oz/500 mL,2.14,0,0,0,0,0,,,,,,,8,,,,,,30,,,,,,0,,,,,
"Rockstar Punched Fruit Punch Energy Drink, 16 oz, 4 Pack Cans",46535268,818094003025,473,ml,,6.78,0.42,0,12.9,54,54,,,,,,,21,,,,,,,,8.33,,,,12.5,,,0.833,2.5,
"OZARKA Brand 100% Natural Spring Water, 23.7-ounce plastic sport cap bottles (Pack of 6)",17787317,22592637778,,,,2.47,0,0,0,,,0,1,0.01,1,0,0,1,0,0,,,,0,,0,,0,,,0,0,0,0,
"Swiss Miss Classics Milk Chocolate Hot Cocoa Mix, 8 Packets",597867208,70920476339,39,g,39.4 ONZ,2.48,3.45,8.62,75.9,379,379,3.4,1720,3.72,,,1310,724,,,,,,0,,,,,,37.9,0,8.62,,,
"Pure Life Purified Water, 3-Liter, Plastic Bottled Water (Single)",278546989,68274611667,,,16.9 fl oz,1.34,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
"Swiss Miss No Sugar Added Milk Chocolate Flavored Hot Cocoa Mix, 8 Packets",378306444,70920476575,21,g,,2.68,4.25,3.18,10,86,86,0.6,159,0.4,28,165,355,105,0.66,,0.05,,,0,,0.184,0.3,0,24.8,7.45,,1.85,0.079,0.57,
"KeVita Pineapple Peach Master Brew Kombucha, 15.2 oz Bottle",111813122,853311003600,240,ml,450 mL,2.98,0,0,3.33,15,15,,,,,,,8,,,,,,,,,,,,3.33,,,,,
"Rockstar Recovery Orange with Electrolytes Energy Drink, 16 oz Can",147922155,818094005791,,,,1.58,0.34,0.22,12.7,58,58,0,1,0.05,0,0,6,16,0.05,,0,,,0,,9.82,0,0,0.3,12.3,,0,1.35,3.77,
"Great Value Drink Enhancer, Grape, 3.11 fl oz",279494407,78742375618,3,ml,1.62 fl oz/48 mL,3.96,0,0,50,0,0,,,,,,,500,,,,,,,,,,,,50,,,,,
"Monster Ultra Strawberry Dreams, Sugar Free Energy Drink, 12 fl oz, 6 Pack",1629883431,70847891871,,,,10.48,0,0,1.38,5,5,0,0,0,0,0,0,75,0,,0,,,0,,8.33,0,0,0,1.38,,0,0.833,2.5,
"Kool-Aid Liquid Cherry Artificially Flavored Soft Drink Mix, 1.62 fl oz Bottle",23598044,43000005743,,,,2.78,0,0,87.5,375,375,,,,,,,0,,,,,,75,,,,,,87.5,,,,,
"Swiss Miss Milk Chocolate Flavored Hot Cocoa Mix, 38.27 OZ Square Canister",915286321,70920476971,35,g,26 ONZ,6.63,3.57,7.14,85.7,429,429,3.6,143,1.29,,,964,500,,,,,,0,,,,,,64.3,0,5.36,,,
"Great Value Hydrate Alkaline Water, 33.8 fl oz Bottles, 6 Count",619633057,78742310435,360,ml,33.8 fl oz,6.78,0,0,9.17,33,33,,,,,,,8,,,,,,,,,,,,9.17,,,,,
"Splash Blast, Wild Berry Flavor Water Beverage, 16.9 FL OZ Plastic Bottles (6 Count)",44000694,68274342172,237,ml,,2.98,0,0,0.05,1,1,0,1,0.01,,,12,53,,0,,,,10.5,,2.49,,,,0.02,0,0,0.249,,
"Nestle Hot Cocoa Rich Milk Chocolate Flavored Mix Powder, 27.7 oz, Can",17283459,50000111879,20,g,,5.24,3,15,75,,,4,100,1.8,,,0,850,,11,,,,0,,,,,,60,0.25,10,,,
"Pure Leaf Real Brewed, Unsweetened Black Iced Tea Bottle Tea Drink, 16.9 fl oz, 12 Bottles",522871892,12000173202,500,ml,,12.98,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,,,0,,0,0,0,0,0,,0,0,0,
"Starbucks Doubleshot Energy Vanilla Coffee Energy Drink, 11 oz, 4 Pack Cans",55397854,12000163258,325,ml,,7.48,0,0.56,7.67,47,47,0,90,0.08,,,228,41,,90,,18,,6.8,,9.03,,,,5.64,0,0.34,0.903,,
"OZARKA Brand 100% Natural Spring Water, 2.5-gallon jug",17787316,22592000077,,,,4.38,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,
"Gold Peak Real Brewed Tea Unsweetened, Black Iced Tea Drink, 89 fl oz",22176464,83900006488,nan,nan,,3.98,0,0,0.3,1,1,0,0,0.02,3,1,37,3,0.02,,0,,,0,,0,0,0,0.4,0,,0.002,0,0,
"NOS High Performance Energy Drink, Original, 16 fl oz, 8 Pack",118445796,815154020909,,,24 fl oz/710 mL,11.98,0,0,11.2,42,42,,,,,,,83,,,,,,,,,,,,11.2,,,0.833,2.5,
"Swiss Miss Classics Hot Chocolate Mix with Marshmallows, 30 Packets",496911493,70920476520,39,g,7.3 ONZ,7,4.76,9.52,76.2,429,429,4.8,1430,3.43,,,1290,643,,0,,,,0,,,,,,52.4,0,7.14,,,
"Sam's Choice Purified Drinking Water, 20 fl oz, 12 Count Bottles",19276186,78742089539,,,30.4 fl oz,3.52,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
"Red Diamond Fresh Brewed Southern Sweet Tea, 1 Gallon",10321291,70242301258,240,ml,0.5 gal,3.42,0,0,9.17,36,36,,,,,,,0,,,,,,,,,,,,8.89,,,,,8.9
"Red Diamond Fresh Brewed Unsweet Iced Tea, 1 Gallon",10321289,70242301203,240,ml,128 fl oz/1 GAL/3.78 L,3.42,0,0,0.42,0,0,,,,,,,2,,,,,,,,,,,,0,,,,,
"Splash Blast, Lemon Flavor, 16.9 FL OZ Plastic Bottles (6 Count)",19276141,68274194856,,,3000 MLT,2.98,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,,,,,,0,0,0,,,0
"Swiss Miss Classics Milk Chocolate Hot Cocoa Mix Envelopes, 30 Packets",621172648,70920476513,39,g,10 ONZ,7,7.14,5.36,85.7,429,429,3.6,209,2.21,,,1110,429,,0,,,,0,,,,,,67.9,0,3.57,,,
"Great Value Milk Chocolate Hot Cocoa Drink Mix, 27 oz Canister",908275150,78742359243,36,g,,4.24,2.73,1.54,16.5,91,91,0,102,0,17,95,152,60,0.45,,0.03,,,0.2,,0.123,0.2,0,14.2,15.2,,0.903,0.049,0.42,
"Pure Leaf Real Brewed, Iced Sweet Tea Bottle Tea Drink, 16.9 fl oz, 12 Bottles",384264517,12000173189,500,ml,500 MLT,12.98,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,,,,,,0,0,0,0,0,0
"CELSIUS On-the-Go Essential Energy Drink Mix, Cranberry Lemon (14 Stick Pack)",832276267,889392088625,,,,11.24,0,0,3.75,15,15,0,0,0,2,1,0,21,0.01,0,0,0,,25,,4.17,0.1,0,0.4,3.75,0,0,0.417,1.25,
"Gold Peak Real Brewed Tea Cane Sugar Sweetened Black Iced Tea Drink, 89 fl oz",22176465,83900006495,nan,nan,,3.98,0,0.02,7.94,32,32,0,0,0.02,3,1,34,3,0.02,,0,,,0,,0,0,0,0.4,7.68,,0.002,0,0,
"Health-Ade Pomegranate Kombucha, 16 oz",119563341,851861006119,237,ml,16 fl oz/1 PT/473 mL,3.28,0,0,2.96,15,15,,,,,,,4,,,,,,,,,,,,0.85,,,,,
"Nestle Nesquik No Sugar Added Chocolate Powder, 16 oz, Can",10291479,28000813208,11,g,,5.68,3.46,1.11,10.2,64,64,0.1,129,0.23,13,96,172,65,0.43,,0,,,0.4,,0.124,0.1,0,17,9.94,,0.616,0.047,0.23,
